Matricule,"Course Code","Ca Marks",Semester,"Academic year"
MLS/22/0075,"ENG 101",27,1,2022/2023
MLS/22/0001,"FRE 101",36,1,2022/2023
MLS/22/0002,"FRE 101",19,1,2022/2023
MLS/22/0003,"FRE 101",34,1,2022/2023
MLS/22/0008,"FRE 101",28,1,2022/2023
MLS/22/0012,"FRE 101",24,1,2022/2023
MLS/22/0019,"FRE 101",23,1,2022/2023
MLS/22/0020,"FRE 101",36,1,2022/2023
MLS/22/0022,"FRE 101",28,1,2022/2023
MLS/22/0025,"FRE 101",27,1,2022/2023
MLS/22/0027,"FRE 101",37,1,2022/2023
MLS/22/0030,"FRE 101",17,1,2022/2023
MLS/22/0031,"FRE 101",11,1,2022/2023
MLS/22/0033,"FRE 101",18,1,2022/2023
MLS/22/0040,"FRE 101",11,1,2022/2023
MLS/22/0041,"FRE 101",16,1,2022/2023
MLS/22/0042,"FRE 101",38,1,2022/2023
MLS/22/0044,"FRE 101",14,1,2022/2023
MLS/22/0045,"FRE 101",17,1,2022/2023
MLS/22/0050,"FRE 101",16,1,2022/2023
MLS/22/0051,"FRE 101",18,1,2022/2023
MLS/22/0066,"FRE 101",38,1,2022/2023
MLS/22/0068,"FRE 101",24,1,2022/2023
MLS/22/0070,"FRE 101",16,1,2022/2023
MLS/22/0075,"FRE 101",37,1,2022/2023
MLS/21/0001,"NUS 231",10,1,2022/2023
MLS/21/0003,"NUS 231",14,1,2022/2023
MLS/21/0004,"NUS 231",15,1,2022/2023
MLS/21/0005,"NUS 231",17,1,2022/2023
MLS/21/0006,"NUS 231",15,1,2022/2023
MLS/21/0007,"NUS 231",19,1,2022/2023
MLS/21/0008,"NUS 231",16,1,2022/2023
MLS/21/0009,"NUS 231",15,1,2022/2023
MLS/21/0010,"NUS 231",18,1,2022/2023
MLS/21/0012,"NUS 231",18,1,2022/2023
MLS/21/0019,"NUS 231",19,1,2022/2023
MLS/21/0020,"NUS 231",10,1,2022/2023
MLS/21/0021,"NUS 231",20,1,2022/2023
MLS/21/0022,"NUS 231",20,1,2022/2023
MLS/21/0023,"NUS 231",18,1,2022/2023
MLS/21/0024,"NUS 231",17,1,2022/2023
MLS/21/0025,"NUS 231",20,1,2022/2023
MLS/21/0026,"NUS 231",12,1,2022/2023
MLS/21/0039,"NUS 231",20,1,2022/2023
MLS/21/0042,"NUS 231",20,1,2022/2023
MLS/21/0045,"NUS 231",13,1,2022/2023
MLS/21/0046,"NUS 231",15,1,2022/2023
MLS/21/0047,"NUS 231",23,1,2022/2023
MLS/21/0001,"MLS 231",17,1,2022/2023
MLS/21/0003,"MLS 231",30,1,2022/2023
MLS/21/0004,"MLS 231",31,1,2022/2023
MLS/21/0005,"MLS 231",28,1,2022/2023
MLS/21/0006,"MLS 231",18,1,2022/2023
MLS/21/0007,"MLS 231",15,1,2022/2023
MLS/21/0008,"MLS 231",26,1,2022/2023
MLS/21/0009,"MLS 231",20,1,2022/2023
MLS/21/0010,"MLS 231",23,1,2022/2023
MLS/21/0012,"MLS 231",40,1,2022/2023
MLS/21/0019,"MLS 231",34,1,2022/2023
MLS/21/0020,"MLS 231",30,1,2022/2023
MLS/21/0021,"MLS 231",34,1,2022/2023
MLS/21/0022,"MLS 231",35,1,2022/2023
MLS/21/0023,"MLS 231",29,1,2022/2023
MLS/21/0024,"MLS 231",34,1,2022/2023
MLS/21/0025,"MLS 231",25,1,2022/2023
MLS/21/0026,"MLS 231",25,1,2022/2023
MLS/21/0039,"MLS 231",31,1,2022/2023
MLS/21/0042,"MLS 231",27,1,2022/2023
MLS/21/0045,"MLS 231",31,1,2022/2023
MLS/21/0046,"MLS 231",33,1,2022/2023
MLS/21/0047,"MLS 231",35,1,2022/2023
MLS/21/0001,"MLS 232",22,1,2022/2023
MLS/21/0003,"MLS 232",36,1,2022/2023
MLS/21/0004,"MLS 232",34,1,2022/2023
MLS/21/0005,"MLS 232",34,1,2022/2023
MLS/21/0006,"MLS 232",28,1,2022/2023
MLS/21/0007,"MLS 232",20,1,2022/2023
MLS/21/0008,"MLS 232",34,1,2022/2023
MLS/21/0009,"MLS 232",24,1,2022/2023
MLS/21/0010,"MLS 232",25,1,2022/2023
MLS/21/0012,"MLS 232",32,1,2022/2023
MLS/21/0019,"MLS 232",30,1,2022/2023
MLS/21/0020,"MLS 232",32,1,2022/2023
MLS/21/0021,"MLS 232",24,1,2022/2023
MLS/21/0022,"MLS 232",21,1,2022/2023
MLS/21/0023,"MLS 232",37,1,2022/2023
MLS/21/0024,"MLS 232",35,1,2022/2023
MLS/21/0025,"MLS 232",33,1,2022/2023
MLS/21/0026,"MLS 232",21,1,2022/2023
MLS/21/0039,"MLS 232",31,1,2022/2023
MLS/21/0042,"MLS 232",32,1,2022/2023
MLS/21/0045,"MLS 232",28,1,2022/2023
MLS/21/0046,"MLS 232",30,1,2022/2023
MLS/21/0047,"MLS 232",30,1,2022/2023
MLS/21/0001,"MLS 233",24,1,2022/2023
MLS/21/0003,"MLS 233",24,1,2022/2023
MLS/21/0004,"MLS 233",28,1,2022/2023
MLS/21/0005,"MLS 233",35,1,2022/2023
MLS/21/0006,"MLS 233",34,1,2022/2023
MLS/21/0007,"MLS 233",20,1,2022/2023
MLS/21/0008,"MLS 233",31,1,2022/2023
MLS/21/0009,"MLS 233",27,1,2022/2023
MLS/21/0010,"MLS 233",29,1,2022/2023
MLS/21/0012,"MLS 233",38,1,2022/2023
MLS/21/0019,"MLS 233",27,1,2022/2023
MLS/21/0020,"MLS 233",26,1,2022/2023
MLS/21/0021,"MLS 233",28,1,2022/2023
MLS/21/0022,"MLS 233",31,1,2022/2023
MLS/21/0023,"MLS 233",28,1,2022/2023
MLS/21/0024,"MLS 233",34,1,2022/2023
MLS/21/0025,"MLS 233",31,1,2022/2023
MLS/21/0026,"MLS 233",30,1,2022/2023
MLS/21/0039,"MLS 233",36,1,2022/2023
MLS/21/0042,"MLS 233",30,1,2022/2023
MLS/21/0045,"MLS 233",28,1,2022/2023
MLS/21/0046,"MLS 233",30,1,2022/2023
MLS/21/0047,"MLS 233",38,1,2022/2023
MLS/21/0001,"MLS 234",0,1,2022/2023
MLS/21/0003,"MLS 234",20,1,2022/2023
MLS/21/0004,"MLS 234",28,1,2022/2023
MLS/21/0005,"MLS 234",28,1,2022/2023
MLS/21/0006,"MLS 234",21,1,2022/2023
MLS/21/0007,"MLS 234",17,1,2022/2023
MLS/21/0008,"MLS 234",22,1,2022/2023
MLS/21/0009,"MLS 234",24,1,2022/2023
MLS/21/0010,"MLS 234",26,1,2022/2023
MLS/21/0012,"MLS 234",34,1,2022/2023
MLS/21/0019,"MLS 234",31,1,2022/2023
MLS/21/0020,"MLS 234",21,1,2022/2023
MLS/21/0021,"MLS 234",23,1,2022/2023
MLS/21/0022,"MLS 234",29,1,2022/2023
MLS/21/0023,"MLS 234",30,1,2022/2023
MLS/21/0024,"MLS 234",28,1,2022/2023
MLS/21/0025,"MLS 234",29,1,2022/2023
MLS/21/0026,"MLS 234",26,1,2022/2023
MLS/21/0039,"MLS 234",29,1,2022/2023
MLS/21/0042,"MLS 234",23,1,2022/2023
MLS/21/0045,"MLS 234",26,1,2022/2023
MLS/21/0046,"MLS 234",29,1,2022/2023
MLS/21/0047,"MLS 234",31,1,2022/2023
MLS/21/0001,"MLS 235",13,1,2022/2023
MLS/21/0003,"MLS 235",16,1,2022/2023
MLS/21/0004,"MLS 235",17,1,2022/2023
MLS/21/0005,"MLS 235",23,1,2022/2023
MLS/21/0006,"MLS 235",22,1,2022/2023
MLS/21/0007,"MLS 235",17,1,2022/2023
MLS/21/0008,"MLS 235",14,1,2022/2023
MLS/21/0009,"MLS 235",16,1,2022/2023
MLS/21/0010,"MLS 235",15,1,2022/2023
MLS/21/0012,"MLS 235",35,1,2022/2023
MLS/21/0019,"MLS 235",25,1,2022/2023
MLS/21/0020,"MLS 235",12,1,2022/2023
MLS/21/0021,"MLS 235",26,1,2022/2023
MLS/21/0022,"MLS 235",21,1,2022/2023
MLS/21/0023,"MLS 235",17,1,2022/2023
MLS/21/0024,"MLS 235",27,1,2022/2023
MLS/21/0025,"MLS 235",26,1,2022/2023
MLS/21/0026,"MLS 235",14,1,2022/2023
MLS/21/0039,"MLS 235",28,1,2022/2023
MLS/21/0042,"MLS 235",18,1,2022/2023
MLS/21/0045,"MLS 235",16,1,2022/2023
MLS/21/0046,"MLS 235",19,1,2022/2023
MLS/21/0047,"MLS 235",22,1,2022/2023
MLS/21/0001,"MLS 236",15,1,2022/2023
MLS/21/0003,"MLS 236",24,1,2022/2023
MLS/21/0004,"MLS 236",33,1,2022/2023
MLS/21/0005,"MLS 236",24,1,2022/2023
MLS/21/0006,"MLS 236",19,1,2022/2023
MLS/21/0007,"MLS 236",16,1,2022/2023
MLS/21/0008,"MLS 236",21,1,2022/2023
MLS/21/0009,"MLS 236",21,1,2022/2023
MLS/21/0010,"MLS 236",17,1,2022/2023
MLS/21/0012,"MLS 236",28,1,2022/2023
MLS/21/0019,"MLS 236",29,1,2022/2023
MLS/21/0020,"MLS 236",25,1,2022/2023
MLS/21/0021,"MLS 236",19,1,2022/2023
MLS/21/0022,"MLS 236",27,1,2022/2023
MLS/21/0023,"MLS 236",25,1,2022/2023
MLS/21/0024,"MLS 236",26,1,2022/2023
MLS/21/0025,"MLS 236",23,1,2022/2023
MLS/21/0026,"MLS 236",16,1,2022/2023
MLS/21/0039,"MLS 236",28,1,2022/2023
MLS/21/0042,"MLS 236",22,1,2022/2023
MLS/21/0045,"MLS 236",21,1,2022/2023
MLS/21/0046,"MLS 236",30,1,2022/2023
MLS/21/0047,"MLS 236",25,1,2022/2023
MLS/21/0003,"MLS 238",30,1,2022/2023
MLS/21/0004,"MLS 238",27,1,2022/2023
MLS/21/0005,"MLS 238",33,1,2022/2023
MLS/21/0006,"MLS 238",24,1,2022/2023
MLS/21/0007,"MLS 238",22,1,2022/2023
MLS/21/0008,"MLS 238",30,1,2022/2023
MLS/21/0009,"MLS 238",28,1,2022/2023
MLS/21/0010,"MLS 238",18,1,2022/2023
MLS/21/0012,"MLS 238",40,1,2022/2023
MLS/21/0019,"MLS 238",28,1,2022/2023
MLS/21/0020,"MLS 238",22,1,2022/2023
MLS/21/0021,"MLS 238",27,1,2022/2023
MLS/21/0022,"MLS 238",26,1,2022/2023
MLS/21/0023,"MLS 238",26,1,2022/2023
MLS/21/0024,"MLS 238",35,1,2022/2023
MLS/21/0025,"MLS 238",29,1,2022/2023
MLS/21/0026,"MLS 238",25,1,2022/2023
MLS/21/0039,"MLS 238",30,1,2022/2023
MLS/21/0042,"MLS 238",28,1,2022/2023
MLS/21/0045,"MLS 238",26,1,2022/2023
MLS/21/0046,"MLS 238",32,1,2022/2023
MLS/21/0047,"MLS 238",28,1,2022/2023
MDW/20/112,"MID 233",18,1,2022/2023
MLS/21/0001,"BMR 231",21,1,2022/2023
MLS/21/0003,"BMR 231",27,1,2022/2023
MLS/21/0004,"BMR 231",29,1,2022/2023
MLS/21/0005,"BMR 231",23,1,2022/2023
MLS/21/0006,"BMR 231",23,1,2022/2023
MLS/21/0007,"BMR 231",15,1,2022/2023
MLS/21/0008,"BMR 231",35,1,2022/2023
MLS/21/0009,"BMR 231",12,1,2022/2023
MLS/21/0010,"BMR 231",20,1,2022/2023
MLS/21/0012,"BMR 231",40,1,2022/2023
MLS/21/0019,"BMR 231",30,1,2022/2023
MLS/21/0020,"BMR 231",12,1,2022/2023
MLS/21/0021,"BMR 231",14,1,2022/2023
MLS/21/0022,"BMR 231",9,1,2022/2023
MLS/21/0023,"BMR 231",31,1,2022/2023
MLS/21/0024,"BMR 231",27,1,2022/2023
MLS/21/0025,"BMR 231",22,1,2022/2023
MLS/21/0026,"BMR 231",25,1,2022/2023
MLS/21/0039,"BMR 231",34,1,2022/2023
MLS/21/0042,"BMR 231",38,1,2022/2023
MLS/21/0045,"BMR 231",20,1,2022/2023
MLS/21/0046,"BMR 231",33,1,2022/2023
MLS/21/0047,"BMR 231",29,1,2022/2023
MLS/21/0001,"FRE 201",18,1,2022/2023
MLS/21/0003,"FRE 201",23,1,2022/2023
MLS/21/0004,"FRE 201",24,1,2022/2023
MLS/21/0005,"FRE 201",26,1,2022/2023
MLS/21/0006,"FRE 201",21,1,2022/2023
MLS/21/0007,"FRE 201",22,1,2022/2023
MLS/21/0008,"FRE 201",28,1,2022/2023
MLS/21/0009,"FRE 201",20,1,2022/2023
MLS/21/0010,"FRE 201",20,1,2022/2023
MLS/21/0012,"FRE 201",33,1,2022/2023
MLS/21/0019,"FRE 201",18,1,2022/2023
MLS/21/0020,"FRE 201",31,1,2022/2023
MLS/21/0021,"FRE 201",30,1,2022/2023
MLS/21/0022,"FRE 201",26,1,2022/2023
MLS/21/0023,"FRE 201",23,1,2022/2023
MLS/21/0024,"FRE 201",31,1,2022/2023
MLS/21/0025,"FRE 201",19,1,2022/2023
MLS/21/0026,"FRE 201",24,1,2022/2023
MLS/21/0039,"FRE 201",28,1,2022/2023
MLS/21/0042,"FRE 201",26,1,2022/2023
MLS/21/0045,"FRE 201",31,1,2022/2023
MLS/21/0046,"FRE 201",33,1,2022/2023
MLS/21/0047,"FRE 201",25,1,2022/2023
,"FRE 201",0,1,2022/2023
MLS/20/141,"FRE 201",16,1,2022/2023
MLS/21/0001,"MLS 2310",14,1,2022/2023
MLS/21/0003,"MLS 2310",22,1,2022/2023
MLS/21/0004,"MLS 2310",21,1,2022/2023
MLS/21/0005,"MLS 2310",21,1,2022/2023
MLS/21/0006,"MLS 2310",17,1,2022/2023
MLS/21/0007,"MLS 2310",19,1,2022/2023
MLS/21/0008,"MLS 2310",20,1,2022/2023
MLS/21/0009,"MLS 2310",18,1,2022/2023
MLS/21/0010,"MLS 2310",16,1,2022/2023
MLS/21/0012,"MLS 2310",22,1,2022/2023
MLS/21/0019,"MLS 2310",28,1,2022/2023
MLS/21/0020,"MLS 2310",15,1,2022/2023
MLS/21/0021,"MLS 2310",19,1,2022/2023
MLS/21/0022,"MLS 2310",23,1,2022/2023
MLS/21/0023,"MLS 2310",20,1,2022/2023
MLS/21/0024,"MLS 2310",24,1,2022/2023
MLS/21/0025,"MLS 2310",22,1,2022/2023
MLS/21/0026,"MLS 2310",16,1,2022/2023
MLS/21/0039,"MLS 2310",22,1,2022/2023
MLS/21/0042,"MLS 2310",18,1,2022/2023
MLS/21/0045,"MLS 2310",18,1,2022/2023
MLS/21/0046,"MLS 2310",20,1,2022/2023
MLS/21/0047,"MLS 2310",23,1,2022/2023
MDW/22/0032,"BMS 112",35,1,2022/2023
MDW/22/0054,"BMS 112",25,1,2022/2023
MDW/22/0019,"BMS 112",18,1,2022/2023
MDW/22/0008,"BMS 112",10,1,2022/2023
MDW/22/0010,"BMS 112",9,1,2022/2023
MDW/22/0077,"BMS 112",10,1,2022/2023
MDW/22/0044,"BMS 112",17,1,2022/2023
MDW/22/0031,"BMS 112",23,1,2022/2023
MDW/22/0006,"BMS 112",22,1,2022/2023
MDW/22/0035,"BMS 112",23,1,2022/2023
MDW/22/0068,"BMS 112",32,1,2022/2023
MDW/22/0030,"BMS 112",22,1,2022/2023
MDW/22/0071,"BMS 112",32,1,2022/2023
MDW/22/0041,"BMS 112",30,1,2022/2023
MDW/22/0028,"BMS 112",18,1,2022/2023
MDW/22/0004,"BMS 112",28,1,2022/2023
MDW/22/0053,"BMS 112",19,1,2022/2023
MDW/22/0052,"BMS 112",26,1,2022/2023
MDW/22/0066,"BMS 112",32,1,2022/2023
MDW/22/0051,"BMS 112",15,1,2022/2023
MDW/22/0004,"MLC 101",9,1,2022/2023
MDW/22/0006,"MLC 101",27,1,2022/2023
MDW/22/0008,"MLC 101",13,1,2022/2023
MDW/22/0010,"MLC 101",12,1,2022/2023
MDW/22/0019,"MLC 101",10,1,2022/2023
MDW/22/0028,"MLC 101",20,1,2022/2023
MDW/22/0030,"MLC 101",7,1,2022/2023
MDW/22/0031,"MLC 101",11,1,2022/2023
MDW/22/0032,"MLC 101",20,1,2022/2023
MDW/22/0035,"MLC 101",14,1,2022/2023
MDW/22/0041,"MLC 101",32,1,2022/2023
MDW/22/0044,"MLC 101",12,1,2022/2023
MDW/22/0051,"MLC 101",5,1,2022/2023
MDW/22/0052,"MLC 101",17,1,2022/2023
MDW/22/0053,"MLC 101",17,1,2022/2023
MDW/22/0054,"MLC 101",21,1,2022/2023
MDW/22/0066,"MLC 101",31,1,2022/2023
MDW/22/0068,"MLC 101",34,1,2022/2023
MDW/22/0071,"MLC 101",25,1,2022/2023
MDW/22/0077,"MLC 101",16,1,2022/2023
MDW/22/0032,"BMS 113",30,1,2022/2023
MDW/22/0054,"BMS 113",23,1,2022/2023
MDW/22/0019,"BMS 113",11,1,2022/2023
MDW/22/0008,"BMS 113",18,1,2022/2023
MDW/22/0010,"BMS 113",12,1,2022/2023
MDW/22/0077,"BMS 113",20,1,2022/2023
MDW/22/0044,"BMS 113",20,1,2022/2023
MDW/22/0031,"BMS 113",20,1,2022/2023
MDW/22/0006,"BMS 113",14,1,2022/2023
MDW/22/0035,"BMS 113",14,1,2022/2023
MDW/22/0068,"BMS 113",25,1,2022/2023
MDW/22/0030,"BMS 113",16,1,2022/2023
MDW/22/0071,"BMS 113",23,1,2022/2023
MDW/22/0041,"BMS 113",27,1,2022/2023
MDW/22/0028,"BMS 113",20,1,2022/2023
MDW/22/0004,"BMS 113",18,1,2022/2023
MDW/22/0053,"BMS 113",16,1,2022/2023
MDW/22/0052,"BMS 113",18,1,2022/2023
MDW/22/0066,"BMS 113",22,1,2022/2023
MDW/22/0051,"BMS 113",14,1,2022/2023
MDW/22/0032,"BMS 114",28,1,2022/2023
MDW/22/0054,"BMS 114",26,1,2022/2023
MDW/22/0019,"BMS 114",16,1,2022/2023
MDW/22/0008,"BMS 114",22,1,2022/2023
MDW/22/0010,"BMS 114",13,1,2022/2023
MDW/22/0077,"BMS 114",20,1,2022/2023
MDW/22/0044,"BMS 114",14,1,2022/2023
MDW/22/0031,"BMS 114",19,1,2022/2023
MDW/22/0006,"BMS 114",22,1,2022/2023
MDW/22/0035,"BMS 114",19,1,2022/2023
MDW/22/0068,"BMS 114",29,1,2022/2023
MDW/22/0030,"BMS 114",21,1,2022/2023
MDW/22/0071,"BMS 114",24,1,2022/2023
MDW/22/0041,"BMS 114",9,1,2022/2023
MDW/22/0028,"BMS 114",12,1,2022/2023
MDW/22/0004,"BMS 114",17,1,2022/2023
MDW/22/0053,"BMS 114",19,1,2022/2023
MDW/22/0052,"BMS 114",21,1,2022/2023
MDW/22/0066,"BMS 114",26,1,2022/2023
MDW/22/0051,"BMS 114",22,1,2022/2023
MDW/22/0032,"BMS 115",23,1,2022/2023
MDW/22/0054,"BMS 115",21,1,2022/2023
MDW/22/0019,"BMS 115",20,1,2022/2023
MDW/22/0008,"BMS 115",18,1,2022/2023
MDW/22/0010,"BMS 115",15,1,2022/2023
MDW/22/0077,"BMS 115",21,1,2022/2023
MDW/22/0044,"BMS 115",20,1,2022/2023
MDW/22/0031,"BMS 115",19,1,2022/2023
MDW/22/0006,"BMS 115",18,1,2022/2023
MDW/22/0035,"BMS 115",23,1,2022/2023
MDW/22/0068,"BMS 115",23,1,2022/2023
MDW/22/0030,"BMS 115",18,1,2022/2023
MDW/22/0071,"BMS 115",26,1,2022/2023
MDW/22/0041,"BMS 115",23,1,2022/2023
MDW/22/0028,"BMS 115",18,1,2022/2023
MDW/22/0004,"BMS 115",18,1,2022/2023
MDW/22/0053,"BMS 115",20,1,2022/2023
MDW/22/0052,"BMS 115",20,1,2022/2023
MDW/22/0066,"BMS 115",25,1,2022/2023
MDW/22/0051,"BMS 115",20,1,2022/2023
MDW/22/0077,"BMS 116",27,1,2022/2023
MDW/22/0054,"BMS 116",27,1,2022/2023
MDW/22/0053,"BMS 116",26,1,2022/2023
MDW/22/0004,"BMS 116",23,1,2022/2023
MDW/22/0006,"BMS 116",18,1,2022/2023
MDW/22/0051,"BMS 116",25,1,2022/2023
MDW/22/0008,"BMS 116",21,1,2022/2023
MDW/22/0032,"BMS 116",27,1,2022/2023
MDW/22/0010,"BMS 116",24,1,2022/2023
MDW/22/0019,"BMS 116",25,1,2022/2023
MDW/22/0028,"BMS 116",25,1,2022/2023
MDW/22/0031,"BMS 116",21,1,2022/2023
MDW/22/0030,"BMS 116",28,1,2022/2023
MDW/22/0035,"BMS 116",27,1,2022/2023
MDW/22/0041,"BMS 116",24,1,2022/2023
MDW/22/0052,"BMS 116",30,1,2022/2023
MDW/22/0066,"BMS 116",26,1,2022/2023
MDW/22/0068,"BMS 116",28,1,2022/2023
MDW/22/0071,"BMS 116",31,1,2022/2023
MDW/22/0044,"BMS 116",23,1,2022/2023
MDW/22/0004,"BMS 118",9,1,2022/2023
MDW/22/0006,"BMS 118",15,1,2022/2023
MDW/22/0008,"BMS 118",20,1,2022/2023
MDW/22/0010,"BMS 118",15,1,2022/2023
MDW/22/0019,"BMS 118",27,1,2022/2023
MDW/22/0028,"BMS 118",16,1,2022/2023
MDW/22/0030,"BMS 118",24,1,2022/2023
MDW/22/0031,"BMS 118",21,1,2022/2023
MDW/22/0032,"BMS 118",23,1,2022/2023
MDW/22/0035,"BMS 118",25,1,2022/2023
MDW/22/0041,"BMS 118",21,1,2022/2023
MDW/22/0044,"BMS 118",23,1,2022/2023
MDW/22/0051,"BMS 118",11,1,2022/2023
MDW/22/0052,"BMS 118",25,1,2022/2023
MDW/22/0053,"BMS 118",21,1,2022/2023
MDW/22/0054,"BMS 118",29,1,2022/2023
MDW/22/0066,"BMS 118",24,1,2022/2023
MDW/22/0068,"BMS 118",31,1,2022/2023
MDW/22/0071,"BMS 118",23,1,2022/2023
MDW/22/0077,"BMS 118",20,1,2022/2023
MDW/22/0004,"ICT 101",26,1,2022/2023
MDW/22/0006,"ICT 101",27,1,2022/2023
MDW/22/0008,"ICT 101",18,1,2022/2023
MDW/22/0010,"ICT 101",16,1,2022/2023
MDW/22/0019,"ICT 101",14,1,2022/2023
MDW/22/0028,"ICT 101",21,1,2022/2023
MDW/22/0030,"ICT 101",22,1,2022/2023
MDW/22/0031,"ICT 101",24,1,2022/2023
MDW/22/0032,"ICT 101",32,1,2022/2023
MDW/22/0035,"ICT 101",34,1,2022/2023
MDW/22/0041,"ICT 101",33,1,2022/2023
MDW/22/0044,"ICT 101",21,1,2022/2023
MDW/22/0051,"ICT 101",16,1,2022/2023
MDW/22/0052,"ICT 101",32,1,2022/2023
MDW/22/0053,"ICT 101",33,1,2022/2023
MDW/22/0054,"ICT 101",29,1,2022/2023
MDW/22/0066,"ICT 101",38,1,2022/2023
MDW/22/0068,"ICT 101",38,1,2022/2023
MDW/22/0071,"ICT 101",32,1,2022/2023
MDW/22/0077,"ICT 101",29,1,2022/2023
MDW/22/0004,"ENG 101",16,1,2022/2023
MDW/22/0006,"ENG 101",28,1,2022/2023
MDW/22/0008,"ENG 101",20,1,2022/2023
MDW/22/0010,"ENG 101",18,1,2022/2023
MDW/22/0019,"ENG 101",29,1,2022/2023
MDW/22/0028,"ENG 101",18,1,2022/2023
MDW/22/0030,"ENG 101",28,1,2022/2023
MDW/22/0031,"ENG 101",23,1,2022/2023
MDW/22/0032,"ENG 101",19,1,2022/2023
MDW/22/0035,"ENG 101",19,1,2022/2023
MDW/22/0041,"ENG 101",29,1,2022/2023
MDW/22/0044,"ENG 101",22,1,2022/2023
MDW/22/0051,"ENG 101",18,1,2022/2023
MDW/22/0052,"ENG 101",24,1,2022/2023
MDW/22/0053,"ENG 101",24,1,2022/2023
MDW/22/0054,"ENG 101",29,1,2022/2023
MDW/22/0066,"ENG 101",24,1,2022/2023
MDW/22/0068,"ENG 101",24,1,2022/2023
MDW/22/0071,"ENG 101",26,1,2022/2023
MDW/22/0077,"ENG 101",28,1,2022/2023
MDW/22/0004,"FRE 101",38,1,2022/2023
MDW/22/0006,"FRE 101",37,1,2022/2023
MDW/22/0008,"FRE 101",28,1,2022/2023
MDW/22/0010,"FRE 101",25,1,2022/2023
MDW/22/0019,"FRE 101",25,1,2022/2023
MDW/22/0028,"FRE 101",27,1,2022/2023
MDW/22/0030,"FRE 101",26,1,2022/2023
MDW/22/0031,"FRE 101",26,1,2022/2023
MDW/22/0032,"FRE 101",16,1,2022/2023
MDW/22/0035,"FRE 101",19,1,2022/2023
MDW/22/0041,"FRE 101",37,1,2022/2023
MDW/22/0044,"FRE 101",16,1,2022/2023
MDW/22/0051,"FRE 101",24,1,2022/2023
MDW/22/0052,"FRE 101",19,1,2022/2023
MDW/22/0053,"FRE 101",13,1,2022/2023
MDW/22/0054,"FRE 101",25,1,2022/2023
MDW/22/0066,"FRE 101",34,1,2022/2023
MDW/22/0068,"FRE 101",21,1,2022/2023
MDW/22/0071,"FRE 101",23,1,2022/2023
MDW/22/0077,"FRE 101",22,1,2022/2023
MDW/22/0032,"BMS 111",26,1,2022/2023
MDW/22/0054,"BMS 111",21,1,2022/2023
MDW/22/0019,"BMS 111",22,1,2022/2023
MDW/22/0008,"BMS 111",22,1,2022/2023
MDW/22/0010,"BMS 111",15,1,2022/2023
MDW/22/0077,"BMS 111",24,1,2022/2023
MDW/22/0044,"BMS 111",14,1,2022/2023
MDW/22/0031,"BMS 111",24,1,2022/2023
MDW/22/0006,"BMS 111",25,1,2022/2023
MDW/22/0035,"BMS 111",23,1,2022/2023
MDW/22/0068,"BMS 111",29,1,2022/2023
MDW/22/0030,"BMS 111",20,1,2022/2023
MDW/22/0071,"BMS 111",32,1,2022/2023
MDW/22/0041,"BMS 111",27,1,2022/2023
MDW/22/0028,"BMS 111",25,1,2022/2023
MDW/22/0004,"BMS 111",26,1,2022/2023
MDW/22/0053,"BMS 111",24,1,2022/2023
MDW/22/0052,"BMS 111",22,1,2022/2023
MDW/22/0066,"BMS 111",23,1,2022/2023
MDW/22/0051,"BMS 111",22,1,2022/2023
MDW/20/112,"MID 231",17,1,2022/2023
MDW/20/119,"MID 231",12,1,2022/2023
MDW/20/178,"MID 231",11,1,2022/2023
MDW/21/0001,"MID 231",14,1,2022/2023
MDW/21/0004,"MID 231",18,1,2022/2023
MDW/21/0005,"MID 231",17,1,2022/2023
MDW/21/0009,"MID 231",21,1,2022/2023
MDW/21/0010,"MID 231",15,1,2022/2023
MDW/21/0011,"MID 231",19,1,2022/2023
MDW/21/0012,"MID 231",0,1,2022/2023
MDW/21/0013,"MID 231",22,1,2022/2023
MDW/21/0016,"MID 231",14,1,2022/2023
MDW/21/0017,"MID 231",12,1,2022/2023
MDW/21/0019,"MID 231",0,1,2022/2023
MDW/21/0027,"MID 231",15,1,2022/2023
MDW/21/0028,"MID 231",16,1,2022/2023
MDW/21/0038,"MID 231",17,1,2022/2023
MDW/21/0039,"MID 231",14,1,2022/2023
MDW/21/019,"MID 231",14,1,2022/2023
MDW/20/112,"MID 232",31,1,2022/2023
MDW/20/119,"MID 232",25,1,2022/2023
MDW/20/178,"MID 232",21,1,2022/2023
MDW/21/0001,"MID 232",27,1,2022/2023
MDW/21/0004,"MID 232",23,1,2022/2023
MDW/21/0005,"MID 232",26,1,2022/2023
MDW/21/0009,"MID 232",26,1,2022/2023
MDW/21/0010,"MID 232",21,1,2022/2023
MDW/21/0011,"MID 232",27,1,2022/2023
MDW/21/0012,"MID 232",0,1,2022/2023
MDW/21/0013,"MID 232",25,1,2022/2023
MDW/21/0016,"MID 232",26,1,2022/2023
MDW/21/0017,"MID 232",22,1,2022/2023
MDW/21/0027,"MID 232",35,1,2022/2023
MDW/21/0028,"MID 232",26,1,2022/2023
MDW/21/0038,"MID 232",34,1,2022/2023
MDW/21/0039,"MID 232",23,1,2022/2023
MDW/21/019,"MID 232",26,1,2022/2023
,"MID 232",0,1,2022/2023
MDW/20/119,"MID 233",15,1,2022/2023
