Matricule,Course Code,Ca Marks
NSG/21/0275,NU 235,35
NSG/21/0253,NU 235,33
NSG/21/0287,NU 235,29
NSG/21/0242,NU 235,19
NSG/22/0418,NU 235,17
NSG/21/0265,NU 235,25
PHM/21/0046,NU 235,13
NSG/21/0259,NU 235,26
NSG/21/0276,NU 235,23
NSG/21/0274,NU 235,24
NSG/21/0285,NU 235,33
NSG/21/0286,NU 235,32
NSG/22/0278,NU 235,25
NSG/21/0257,NU 235,24
NSG/22/0346,NU 235,32
NSG/21/0282,NU 235,31
NSG/21/0277,NU 235,24
NSG/21/0267,NU 235,29
NSG/21/0297,NU 235,28
NSG/21/0272,NU 235,32
NSG/21/0292,NU 235,35
NSG/22/0447,NU 235,20
NSG/21/0299,NU 235,30
NSG/21/0241,NU 235,34
NSG/21/0298,NU 235,28
NSG/22/0272,NU 235,0
NSG/21/0304,NU 233,35
NSG/21/0252,NU 233,28
NSG/22/0122,NU 233,37
NSG/21/0260,NU 233,30
NSG/21/0303,NU 233,28
NSG/21/0278,NU 233,27
NSG/21/0245,NU 233,24
NSG/21/0301,NU 233,24
NSG/21/0263,NU 233,38
NSG/21/0247,NU 233,35
NSG/21/0251,NU 233,30
NSG/21/0271,NU 233,39
NSG/21/0293,NU 233,37
NSG/21/0284,NU 233,36
NSG/21/0281,NU 233,39
NSG/21/0309,NU 233,0
NSG/21/0296,NU 233,35
NSG/21/0243,NU 233,19
NSG/21/0294,NU 233,30
NSG/21/0307,NU 233,22
NSG/21/0266,NU 233,38
NSG/21/0248,NU 233,32
NSG/21/0291,NU 233,32
NSG/21/0279,NU 233,33
NSG/21/0289,NU 233,35
NSG/21/0306,NU 233,34
NSG/21/0280,NU 233,27
NSG/21/0262,NU 233,27
NSG/22/0364,NU 233,13
NSG/21/0311,NU 233,38
NSG/21/0283,NU 233,36
NSG/21/0295,NU 233,28
NSG/21/0255,NU 233,39
NSG/21/0270,NU 233,37
NSG/21/0300,NU 233,31
NSG/21/0275,NU 233,36
NSG/21/0253,NU 233,30
NSG/21/0287,NU 233,33
NSG/21/0242,NU 233,22
NSG/22/0418,NU 233,18
NSG/21/0265,NU 233,18
PHM/21/0046,NU 233,27
NSG/21/0259,NU 233,31
NSG/21/0276,NU 233,29
NSG/21/0274,NU 233,33
NSG/21/0285,NU 233,35
NSG/21/0286,NU 233,26
NSG/22/0278,NU 233,32
NSG/21/0257,NU 233,34
NSG/22/0346,NU 233,35
NSG/21/0282,NU 233,38
NSG/21/0277,NU 233,0
NSG/21/0267,NU 233,30
NSG/21/0297,NU 233,26
NSG/21/0272,NU 233,24
NSG/21/0292,NU 233,30
NSG/22/0447,NU 233,5
NSG/21/0299,NU 233,37
NSG/21/0241,NU 233,37
NSG/21/0298,NU 233,23
NSG/22/0272,NU 233,0
NSG/21/0310,NU 233,0
NSG/22/0272,BMR 231,0
NSG/21/0310,BMR 231,33
NSG/21/0298,BMR 231,32
NSG/21/0241,BMR 231,36
NSG/21/0299,BMR 231,35
NSG/22/0447,BMR 231,27
NSG/21/0292,BMR 231,29
NSG/21/0272,BMR 231,31
NSG/21/0297,BMR 231,20
NSG/21/0267,BMR 231,31
NSG/21/0277,BMR 231,33
NSG/21/0282,BMR 231,32
NSG/22/0346,BMR 231,35
NSG/21/0257,BMR 231,33
NSG/22/0278,BMR 231,24
NSG/21/0286,BMR 231,26
NSG/21/0285,BMR 231,37
NSG/21/0274,BMR 231,28
NSG/21/0276,BMR 231,31
NSG/21/0259,BMR 231,31
PHM/21/0046,BMR 231,24
NSG/21/0265,BMR 231,26
NSG/22/0418,BMR 231,21
NSG/21/0242,BMR 231,22
NSG/21/0287,BMR 231,36
NSG/21/0253,BMR 231,33
NSG/21/0275,BMR 231,22
NSG/21/0300,BMR 231,33
NSG/21/0270,BMR 231,32
NSG/21/0255,BMR 231,32
NSG/21/0295,BMR 231,26
NSG/21/0283,BMR 231,37
NSG/21/0311,BMR 231,36
NSG/22/0364,BMR 231,27
NSG/21/0262,BMR 231,28
NSG/21/0280,BMR 231,30
NSG/21/0306,BMR 231,28
NSG/21/0289,BMR 231,33
NSG/21/0279,BMR 231,21
NSG/21/0291,BMR 231,34
NSG/21/043,BMR 231,31
NSG/21/0266,BMR 231,33
NSG/21/0307,BMR 231,26
NSG/21/0294,BMR 231,35
NSG/21/0243,BMR 231,24
NSG/21/0296,BMR 231,33
NSG/21/0309,BMR 231,30
NSG/21/0281,BMR 231,35
NSG/21/0284,BMR 231,34
NSG/21/0293,BMR 231,29
NSG/21/0271,BMR 231,36
NSG/21/0251,BMR 231,25
NSG/21/0247,BMR 231,36
NSG/21/0263,BMR 231,34
NSG/21/0301,BMR 231,28
NSG/21/0245,BMR 231,20
NSG/21/0278,BMR 231,24
NSG/21/0303,BMR 231,34
NSG/21/0260,BMR 231,30
NSG/22/0122,BMR 231,37
NSG/21/0252,BMR 231,20
NSG/21/0304,BMR 231,30
NSG/21/0304,NU 238,29
NSG/21/0252,NU 238,24
NSG/22/0122,NU 238,32
NSG/21/0260,NU 238,27
NSG/21/0303,NU 238,22
NSG/21/0278,NU 238,20
NSG/21/0245,NU 238,14
NSG/21/0301,NU 238,31
NSG/21/0263,NU 238,34
NSG/21/0247,NU 238,33
NSG/21/0251,NU 238,21
NSG/21/0271,NU 238,31
NSG/21/0293,NU 238,21
NSG/21/0284,NU 238,31
NSG/21/0281,NU 238,28
NSG/21/0309,NU 238,22
NSG/21/0296,NU 238,33
NSG/21/0243,NU 238,14
NSG/21/0294,NU 238,20
NSG/21/0307,NU 238,17
NSG/21/0266,NU 238,35
NSG/21/0248,NU 238,27
NSG/21/0291,NU 238,29
NSG/21/0279,NU 238,30
NSG/21/0289,NU 238,23
NSG/21/0306,NU 238,28
NSG/21/0280,NU 238,16
NSG/21/0262,NU 238,30
NSG/22/0364,NU 238,22
NSG/21/0311,NU 238,30
NSG/21/0283,NU 238,27
NSG/21/0295,NU 238,26
NSG/21/0255,NU 238,36
NSG/21/0270,NU 238,25
NSG/21/0300,NU 238,29
NSG/21/0275,NU 238,30
NSG/21/0253,NU 238,27
NSG/21/0287,NU 238,32
NSG/21/0242,NU 238,17
NSG/22/0418,NU 238,28
NSG/21/0265,NU 238,19
PHM/21/0046,NU 238,20
NSG/21/0259,NU 238,37
NSG/21/0276,NU 238,24
NSG/21/0274,NU 238,26
NSG/21/0285,NU 238,35
NSG/21/0286,NU 238,31
NSG/22/0278,NU 238,26
NSG/21/0257,NU 238,29
NSG/22/0346,NU 238,32
NSG/21/0282,NU 238,32
NSG/21/0277,NU 238,0
NSG/21/0267,NU 238,23
NSG/21/0297,NU 238,31
NSG/21/0272,NU 238,21
NSG/21/0292,NU 238,33
NSG/22/0447,NU 238,14
NSG/21/0299,NU 238,36
NSG/21/0241,NU 238,27
NSG/21/0298,NU 238,27
NSG/22/0272,NU 238,0
NSG/21/0310,NU 238,0
